ID,Score
59,0.0
60,3.2
214,0.0
639,0.0
8,2.1
101,5.0
601,0.3
161,0.0
467,0.7
510,0.0
687,0.1
570,0.0
452,10.0
521,7.4
516,2.0
345,5.0
629,3.1
248,2.4
578,5.0
589,0.0
61,0.3
638,0.0
654,0.0
425,0.0
262,0.2
181,2.4
657,2.4
590,0.0
445,0.0
453,0.3
23,0.0
69,0.4
575,3.6
517,0.3
224,0.3
377,0.0
307,0.3
619,10.0
299,1.1
703,0.3
148,0.0
540,0.4
382,5.8
273,0.0
388,0.3
591,0.0
597,4.6
56,0.0
81,0.4
484,3.1
544,7.9
609,3.4
349,0.2
134,9.6
480,0.0
565,4.3
19,0.2
47,0.0
347,0.0
371,1.7
218,0.3
664,3.8
242,0.0
634,10.0
643,0.4
698,0.2
331,3.5
346,1.2
65,5.0
334,3.5
207,0.6
433,7.0
